name_lower	name	canonical	known_chain	count
nh hoteles	NH Hoteles			9
il lago	Il Lago			9
sport clips haircuts	Sport Clips Haircuts			9
urafiki flats	Urafiki Flats			9
römerkeller	Römerkeller			9
fox and hound	Fox and Hound			9
grant	Grant			9
schnell & sauber	Schnell & Sauber			9
presentation college	Presentation College			9
laborgebäude	Laborgebäude			9
supermercado pão de açúcar	Supermercado Pão de Açúcar			9
lunch	Lunch			9
central store	Central Store			9
hotspot	Hotspot			9
gastronomia	Gastronomia			9
بانک سرمایه	بانک سرمایه			9
nas	NAS			9
7 days	7 days			9
srdiečko	Srdiečko			9
büttner	Büttner			9
"тц ""космос"""	"ТЦ ""Космос"""			9
beaver dam church	Beaver Dam Church			9
luther cemetery	Luther Cemetery			9
swain reefs national park	Swain Reefs National Park			9
caveau	Caveau			9
museo histórico	Museo Histórico			9
les négociants	Les Négociants			9
bâton rouge	Bâton Rouge			9
chaos	Chaos			9
factory connection	Factory Connection			9
conway cemetery	Conway Cemetery			9
church of the messiah	Church of the Messiah			9
smkn 2 pekanbaru	SMKN 2 Pekanbaru			9
fiege	Fiege			9
mount evergreen cemetery	Mount Evergreen Cemetery			9
bl. 3e	Bl. 3E			9
bl. 3d	Bl. 3D			9
perabot	PERABOT			9
laudenbach	Laudenbach			9
broadmoor elementary school	Broadmoor Elementary School			9
corpus domini	Corpus Domini			9
brentwood school	Brentwood School			9
n.a.s.	N.A.S.			9
центральне кладовище	Центральне кладовище			9
porterhouse	Porterhouse			9
stará radnice	Stará radnice			9
ижмолоко	Ижмолоко			9
centre court	Centre Court			9
pizzeria parma	Pizzeria Parma			9
contempo	Contempo			9
остановочный комплекс	Остановочный комплекс			9
alphabank	AlphaBank			9
المرج	المرج			9
부영마트 (buyeong mart)	부영마트 (Buyeong Mart)			9
antoniuskirche	Antoniuskirche			9
mas blanc	Mas Blanc			9
notre-dame de la nativité	Notre-Dame de la Nativité			9
средняя школа № 12	Средняя школа № 12			9
ayyappan temple	Ayyappan Temple			9
коррекционная школа-интернат	Коррекционная школа-интернат			9
the top house	The Top House			9
mr price sport	Mr Price Sport			9
car dealer	Car Dealer			9
collège henri matisse	Collège Henri Matisse			9
jabatan kerja raya	Jabatan Kerja Raya			9
stadshotellet	Stadshotellet			9
теплосети	Теплосети			9
uniwersytet medyczny	Uniwersytet Medyczny			9
tool shed	Tool Shed			9
autospa	AutoSpa			9
the harvester	The Harvester			9
водник	Водник			9
溫州大餛飩	溫州大餛飩			9
642	642			9
645	645			9
647	647			9
649	649			9
eurocenter	Eurocenter			9
2/1	2/1			9
